Column 1,Compte_Twitter,geoloc,lat,long,ville,nbre_oeuvre
Venise,NON,"47.346666666667,6.1080555555556",47.346666666667,6.1080555555556,Venise,41
Fontainebleau,OUI,"48.408888888889,2.7016666666667",48.408888888889,2.7016666666667,Fontainebleau,21
Argenteuil,OUI,"48.947777777778,2.2475",48.947777777778,2.2475,Argenteuil,19
Louveciennes,OUI,"48.860277777778,2.1163888888889",48.860277777778,2.1163888888889,Louveciennes,19
Rouen,OUI,"49.443055555556,1.1025",49.443055555556,1.1025,Rouen,18
Flamanville,NON,"49.530833333333,-1.8663888888889",49.530833333333,-1.8663888888889,Flamanville,17
Saint-Honoré-les-Bains,NON,"46.905833333333,3.8402777777778",46.905833333333,3.8402777777778,Saint-Honoré-les-Bains,16
Vauville,NON,"49.6375,-1.8463888888889",49.6375,-1.8463888888889,Vauville,14
Auvers-sur-Oise,NON,"49.071666666667,2.1741666666667",49.071666666667,2.1741666666667,Auvers-sur-Oise,12
Vétheuil,NON,"49.063888888889,1.7030555555556",49.063888888889,1.7030555555556,Vétheuil,12
Honfleur,NON,"49.418888888889,0.23305555555556",49.418888888889,0.23305555555556,Honfleur,11
Trouville-sur-Mer,NON,"49.3675,0.081666666666667",49.3675,0.081666666666667,Trouville-sur-Mer,11
Saint-Malo,OUI,"48.647222222222,-2.0088888888889",48.647222222222,-2.0088888888889,Saint-Malo,10
Versailles,OUI,"48.804722222222,2.1341666666667",48.804722222222,2.1341666666667,Versailles,10
Dieppe,OUI,"49.925,1.075",49.925,1.075,Dieppe,9
Étretat,NON,"49.706388888889,0.20666666666667",49.706388888889,0.20666666666667,Etretat,9
Pontoise,NON,"49.050833333333,2.1008333333333",49.050833333333,2.1008333333333,Pontoise,9
Ville-d'Avray,OUI,"48.826111111111,2.1933333333333",48.826111111111,2.1933333333333,Ville-d'Avray,9
Antibes,OUI,"43.58,7.1230555555556",43.58,7.1230555555556,Antibes,8
Éragny,NON,"49.017222222222,2.0913888888889",49.017222222222,2.0913888888889,Eragny,8
Giverny,NON,"49.076111111111,1.5291666666667",49.076111111111,1.5291666666667,Giverny,8
Igny,NON,"47.478888888889,5.7622222222222",47.478888888889,5.7622222222222,Igny,8
Moret-sur-Loing,NON,"48.3744,2.815",48.3744,2.815,Moret-sur-Loing,8
Aix-en-Provence,OUI,"43.527777777778,5.4455555555556",43.527777777778,5.4455555555556,Aix-en-Provence,7
Cusset,OUI,"46.134444444444,3.4563888888889",46.134444444444,3.4563888888889,Cusset,7
Camaret-sur-Mer,NON,"48.275555555556,-4.5975",48.275555555556,-4.5975,Camaret-sur-Mer,6
Carolles,NON,"48.751111111111,-1.5602777777778",48.751111111111,-1.5602777777778,Carolles,6
Ornans,NON,"47.105277777778,6.1430555555556",47.105277777778,6.1430555555556,Ornans,6
Pont-Aven,NON,"47.855555555556,-3.7472222222222",47.855555555556,-3.7472222222222,Pont-Aven,6
Amfreville,NON,"49.41,-1.3927777777778",49.41,-1.3927777777778,Amfreville,5
Asnières-sur-Seine,OUI,"48.911111111111,2.2855555555556",48.911111111111,2.2855555555556,Asnières-sur-Seine,5
Bordeaux,OUI,"44.837777777778,-0.57944444444444",44.837777777778,-0.57944444444444,Bordeaux,5
La Tronche,NON,"45.206388888889,5.7402777777778",45.206388888889,5.7402777777778,La Tronche,5
Le Cannet,NON,"43.576111111111,7.0186111111111",43.576111111111,7.0186111111111,Le Cannet,5
Le Grand-Lemps,NON,"45.398333333333,5.4197222222222",45.398333333333,5.4197222222222,Le Grand-Lemps,5
Saint-Germain-en-Laye,OUI,"48.896388888889,2.0905555555556",48.896388888889,2.0905555555556,Saint-Germain-en-Laye,5
Saint-Tropez,OUI,"43.269722222222,6.6386111111111",43.269722222222,6.6386111111111,Saint-Tropez,5
Arles-sur-Tech,NON,"42.456944444444,2.6338888888889",42.456944444444,2.6338888888889,Arles,4
Avignon,OUI,"43.948611111111,4.8083333333333",43.948611111111,4.8083333333333,Avignon,4
Biville,NON,"49.612777777778,-1.8225",49.612777777778,-1.8225,Biville,4
Bougival,OUI,"48.865,2.1394444444444",48.865,2.1394444444444,Bougival,4
Bretagne,NON,"47.595277777778,6.9977777777778",47.595277777778,6.9977777777778,Bretagne,4
Crozant,NON,"46.391666666667,1.6211111111111",46.391666666667,1.6211111111111,Crozant,4
Gennevilliers,OUI,"48.925555555556,2.2936111111111",48.925555555556,2.2936111111111,Gennevilliers,4
Le Havre,OUI,"49.494166666667,0.10805555555556",49.494166666667,0.10805555555556,Le Havre,4
Les Andelys,NON,"49.245555555556,1.4116666666667",49.245555555556,1.4116666666667,Les Andelys,4
Molles,OUI,"46.111388888889,3.5583333333333",46.111388888889,3.5583333333333,Molles,4
Nogent-sur-Marne,OUI,"48.836666666667,2.4825",48.836666666667,2.4825,Nogent-sur-Marne,4
Royan,NON,"45.623055555556,-1.0430555555556",45.623055555556,-1.0430555555556,Royan,4
Saint-Mammès,NON,"48.386666666667,2.8141666666667",48.386666666667,2.8141666666667,Saint-Mammès,4
Arras,OUI,"50.289166666667,2.78",50.289166666667,2.78,Arras,3
Bièvres,NON,"48.755555555556,2.215",48.755555555556,2.215,Bièvres,3
Cagnes-sur-Mer,NON,"43.663611111111,7.1483333333333",43.663611111111,7.1483333333333,Cagnes-sur-Mer,3
Canteleu,NON,"49.451111111111,1.0361111111111",49.451111111111,1.0361111111111,Canteleu,3
Concarneau,NON,"47.875277777778,-3.9188888888889",47.875277777778,-3.9188888888889,Concarneau,3
Crémieu,NON,"45.724722222222,5.2513888888889",45.724722222222,5.2513888888889,Crémieu,3
Équihen-Plage,NON,"50.676944444444,1.5725",50.676944444444,1.5725,Equihen-Plage,3
Grandcamp-Maisy,NON,"49.3875,-1.0411111111111",49.3875,-1.0411111111111,Grandcamp-Maisy,3
Herblay-sur-Seine,NON,"48.990277777778,2.1655555555556",48.990277777778,2.1655555555556,Herblay,3
Île-aux-Moines,NON,"47.596666666667,-2.8447222222222",47.596666666667,-2.8447222222222,Ile-aux-Moines,3
L'Isle-Adam,NON,"49.111111111111,2.2227777777778",49.111111111111,2.2227777777778,L'Isle-Adam,3
La Rochelle,NON,"46.159444444444,-1.1513888888889",46.159444444444,-1.1513888888889,La Rochelle,3
Le Port-Marly,NON,"48.879166666667,2.1097222222222",48.879166666667,2.1097222222222,Le Port-Marly,3
Loches,NON,"47.128611111111,0.99527777777778",47.128611111111,0.99527777777778,Loches,3
Meudon,OUI,"48.8075,2.2402777777778",48.8075,2.2402777777778,Meudon,3
Port-en-Bessin-Huppain,NON,"49.344166666667,-0.75527777777778",49.344166666667,-0.75527777777778,Port-en-Bessin-Huppain,3
Suresnes,OUI,"48.871111111111,2.2269444444444",48.871111111111,2.2269444444444,Suresnes,3
Toulon,OUI,"43.125,5.9305555555556",43.125,5.9305555555556,Toulon,3
Toulouse,OUI,"43.604444444444,1.4438888888889",43.604444444444,1.4438888888889,Toulouse,3
Veneux-les-Sablons,NON,"48.377777777778,2.7927777777778",48.377777777778,2.7927777777778,Veneux-les-Sablons,3
Annecy,NON,"45.899166666667,6.1294444444444",45.899166666667,6.1294444444444,Annecy,2
Banyuls-sur-Mer,NON,"42.482222222222,3.1275",42.482222222222,3.1275,Banyuls-sur-mer,2
Belmont,NON,"48.41,7.2347222222222",48.41,7.2347222222222,Belmont,2
Auriol,NON,"43.369444444444,5.6313888888889",43.369444444444,5.6313888888889,Bouches-du-Rhône (13),2
Boulogne-Billancourt,OUI,"48.835277777778,2.2413888888889",48.835277777778,2.2413888888889,Boulogne-Billancourt,2
Bourg-la-Reine,OUI,"48.778055555556,2.3158333333333",48.778055555556,2.3158333333333,Bourg-la-Reine,2
Castelnau-le-Lez,OUI,"43.636111111111,3.9013888888889",43.636111111111,3.9013888888889,Castelnau-le-Lez,2
Cernay,NON,"47.806666666667,7.1758333333333",47.806666666667,7.1758333333333,Cernay,2
Chailly-en-Bière,NON,"48.467222222222,2.6075",48.467222222222,2.6075,Chailly-en-Bière,2
Charenton-le-Pont,NON,"48.821388888889,2.4119444444444",48.821388888889,2.4119444444444,Charenton-le-Pont,2
Chatou,OUI,"48.890555555556,2.1569444444444",48.890555555556,2.1569444444444,Chatou,2
Deauville,OUI,"49.359166666667,0.074444444444444",49.359166666667,0.074444444444444,Deauville,2
Douarnenez,NON,"48.092222222222,-4.3302777777778",48.092222222222,-4.3302777777778,Douarnenez,2
Fescamps,NON,"49.64,2.6830555555556",49.64,2.6830555555556,Fécamp,2
